Ticker,Return [%],WinRate [%],MaxDD [%],Trades
AHT,0.0,0.0,-0.0,0
AHT$D,0.0,0.0,0.0,0
AHT$F,0.0,0.0,0.0,0
AHT$G,0.0,0.0,0.0,0
AHT$H,0.0,0.0,0.0,0
AHT$I,0.0,0.0,0.0,0
AI,0.0,0.0,-0.0,0
AIA,0.0,0.0,-0.0,0
AIFD,0.0,0.0,0.0,0
AIFE,0.0,0.0,0.0,0
AIFER,0.0,0.0,0.0,0
AIFEU,0.0,0.0,0.0,0
AIFF,0.0,0.0,-0.0,0
AIFU,0.0,0.0,-0.0,0
AIG,0.0,0.0,-0.0,0
AIHS,0.0,0.0,-0.0,0
AII,0.0,0.0,0.0,0
AIMD,0.0,0.0,-0.0,0
AIMDW,0.0,0.0,0.0,0
AIN,0.0,0.0,-0.0,0
AIO,0.0,0.0,-0.0,0
AIOT,0.0,0.0,-0.0,0
AIP,0.0,0.0,-0.0,0
AIPI,0.0,0.0,0.0,0
AIQ,0.0,0.0,-0.0,0
AIR,0.0,0.0,-0.0,0
AIRE,0.0,0.0,-0.0,0
AIRG,0.0,0.0,-0.0,0
AIRJ,0.0,0.0,-0.0,0
AIRJW,0.0,0.0,0.0,0
AIRL,0.0,0.0,-0.0,0
AIRO,0.0,0.0,0.0,0
AIRR,0.0,0.0,-0.0,0
AIRS,0.0,0.0,-0.0,0
AIRT,0.0,0.0,-0.0,0
AIRTP,0.0,0.0,-0.0,0
AISP,0.0,0.0,-0.0,0
AISPW,0.0,0.0,0.0,0
AIT,0.0,0.0,-0.0,0
AIV,0.0,0.0,-0.0,0
AIXI,0.0,0.0,-0.0,0
AIZ,0.0,0.0,-0.0,0
AIZN,0.0,0.0,-0.0,0
AJG,0.0,0.0,-0.0,0
AKA,0.0,0.0,-0.0,0
AKAF,0.0,0.0,0.0,0
AKAM,0.0,0.0,-0.0,0
AKAN,0.0,0.0,-0.0,0
AKBA,0.0,0.0,-0.0,0
AKO.A,0.0,0.0,0.0,0
AKO.B,0.0,0.0,0.0,0
AKR,0.0,0.0,-0.0,0
AKRO,0.0,0.0,-0.0,0
AKTX,0.0,0.0,-0.0,0
AL,0.0,0.0,-0.0,0
ALAB,0.0,0.0,-0.0,0
ALAR,0.0,0.0,-0.0,0
ALB,0.0,0.0,-0.0,0
ALB$A,0.0,0.0,0.0,0
ALBT,0.0,0.0,-0.0,0
ALC,0.0,0.0,-0.0,0
ALCO,0.0,0.0,-0.0,0
ALCY,0.0,0.0,-0.0,0
ALCYU,0.0,0.0,-0.0,0
ALCYW,0.0,0.0,0.0,0
ALDF,0.0,0.0,0.0,0
ALDFU,0.0,0.0,0.0,0
ALDFW,0.0,0.0,0.0,0
ALDX,0.0,0.0,-0.0,0
ALE,0.0,0.0,-0.0,0
ALEC,0.0,0.0,-0.0,0
ALEX,0.0,0.0,-0.0,0
ALF,0.0,0.0,0.0,0
ALFUU,0.0,0.0,0.0,0
ALFUW,0.0,0.0,0.0,0
ALG,0.0,0.0,-0.0,0
ALGM,0.0,0.0,-0.0,0
ALGN,0.0,0.0,-0.0,0
ALGS,0.0,0.0,-0.0,0
ALGT,0.0,0.0,-0.0,0
ALHC,0.0,0.0,-0.0,0
ALIL,0.0,0.0,0.0,0
ALIT,0.0,0.0,-0.0,0
ALK,0.0,0.0,-0.0,0
ALKS,0.0,0.0,-0.0,0
ALKT,0.0,0.0,-0.0,0
ALL,0.0,0.0,-0.0,0
ALL$B,0.0,0.0,0.0,0
ALL$H,0.0,0.0,0.0,0
ALL$I,0.0,0.0,0.0,0
ALL$J,0.0,0.0,0.0,0
ALLE,0.0,0.0,-0.0,0
ALLO,0.0,0.0,-0.0,0
ALLR,0.0,0.0,-0.0,0
ALLT,0.0,0.0,-0.0,0
ALLW,0.0,0.0,0.0,0
ALLY,0.0,0.0,-0.0,0
ALMS,0.0,0.0,0.0,0
ALMU,0.0,0.0,-0.0,0
ALNT,0.0,0.0,-0.0,0
ALNY,0.0,0.0,-0.0,0
ALOT,0.0,0.0,-0.0,0
ALRM,0.0,0.0,-0.0,0
ALRS,0.0,0.0,-0.0,0
ALSN,0.0,0.0,-0.0,0
ALT,0.0,0.0,-0.0,0
ALTG,0.0,0.0,-0.0,0
ALTG$A,0.0,0.0,0.0,0
ALTI,0.0,0.0,-0.0,0
ALTO,0.0,0.0,-0.0,0
ALTS,0.0,0.0,-0.0,0
ALTY,0.0,0.0,-0.0,0
ALUR,0.0,0.0,-0.0,0
ALUR.W,0.0,0.0,0.0,0
ALV,0.0,0.0,-0.0,0
ALVO,0.0,0.0,-0.0,0
ALVOW,0.0,0.0,0.0,0
ALX,0.0,0.0,-0.0,0
ALXO,0.0,0.0,-0.0,0
ALZN,0.0,0.0,-0.0,0
AM,0.0,0.0,-0.0,0
AMAL,0.0,0.0,-0.0,0
AMAT,0.0,0.0,-0.0,0
